Player;Squad;Pos;Age;MP;Min;Gls;G-PK;Ast;xG;xA;Gls/90;G-PK/90;Ast/90;xG/90;xA/90;Competition;Sh;Sh/90;SoT/90;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xA;Press%;TklW/90;Blocks/90;Int/90;Tkl+Int/90;Touches/90;Dribbles/90;Dribbles%;SCA/90;GCA/90;Aerial%;Points/90;xGA;OG;PSxG;PSxG/SoT;PSxG+/-;GA;GA/90;Save%;CS%;SoTA/90;SoTA/GA;SoT/G;G-xG;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;xGA/90;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90
Luis Abram;Granada;DF;25;8;560;0;0;0;0.5;0.0;0.0;0.0;0.0;0.08;0.0;La Liga;2;0.32;0.00;88.2;91.3;92.7;75.0;0.0;37.1;0.75;1.5;1.38;2.25;36.12;0.0;0;0.48;0.16;44.4;1.38;7.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.5;24.25;27.5;5.25;14.38;4.5;540.0;144.12;0.0;1.0;0.0;0.0;1.12;0.9;3.12;0.75;0.62;1.5;-6.7;-0.8200000000000001
Marcos Acuña;Sevilla;DF;30;19;1310;1;1;3;1.3;2.0;0.07;0.07;0.21;0.09;0.14;La Liga;10;0.69;0.27;79.5;93.6;85.6;58.2;1.0;30.2;1.0;0.84;1.05;2.74;68.0;1.47;75.7;3.16;0.21;40.5;2.05;9.4;0;0;0;0;0;0;0.0;0;0.0;0.0;4.0;-0.30000000000000004;48.21;60.63;17.05;21.63;9.11;1012.47;363.95;1.32;3.05;1.37;0.68;4.05;0.49;6.21;1.0;1.79;0.89;-8.1;-0.4
Martin Agirregabiria;Alavés;DF;25;17;1404;0;0;1;0.1;0.9;0.0;0.0;0.06;0.01;0.06;La Liga;4;0.26;0.00;71.2;82.5;77.0;43.4;0.1;27.0;1.12;1.59;1.24;3.41;50.82;0.76;72.2;1.54;0.13;47.8;0.82;23.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;29.29;41.12;11.65;14.41;3.12;551.24;277.76;0.76;2.41;1.06;0.59;3.0;1.35;8.0;1.53;1.41;1.88;-22.9;-1.34
Julen Agirrezabala;Athletic Club;GK;21;4;360;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;74.4;100.0;100.0;43.2;0.0;0;0.0;0.0;0.0;0.0;23.75;0.0;0;0.00;0.00;0;1.25;5.3;0;4.6;0.25;-0.4;5;1.25;75.0;25.0;5.0;4.0;0.0;0.0;15.25;20.5;3.5;7.5;4.0;423.75;259.25;0.0;0.25;0.0;0.0;0.0;1.32;3.75;0.0;0.0;0.0;-5.3;-1.32
Sergio Agüero;Barcelona;FW;33;4;151;1;1;0;1.1;0.3;0.6;0.6;0.0;0.64;0.16;La Liga;6;3.58;0.60;72.1;72.0;66.7;100.0;-0.3;22.2;0.25;0.0;0.0;0.25;14.75;0.25;100.0;1.79;0.00;66.7;1.00;1.7;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;-0.10000000000000009;7.75;10.75;4.5;2.5;0.5;117.25;10.75;0.25;0.5;0.0;0.0;0.5;0.42;0.75;0.25;0.5;1.0;-0.5999999999999999;0.22000000000000003
Álvaro Aguirre;Rayo Vallecano;FW;21;1;9;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;100.0;100.0;0;0;0.0;33.3;1.0;0.0;0.0;1.0;3.0;0.0;0;0.00;0.00;0;0.00;0.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;1.0;0.0;0.0;0.0;-0.1;-0.1
Joseph Aidoo;Celta Vigo;DF;26;16;1198;0;0;0;0.1;0.0;0.0;0.0;0.0;0.01;0.0;La Liga;2;0.15;0.00;82.9;85.5;91.1;70.9;0.0;42.0;1.19;1.56;1.69;3.25;49.06;0.12;66.7;0.53;0.00;63.5;1.25;16.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;33.56;40.5;7.38;17.31;8.38;785.19;219.31;0.06;2.69;0.06;0.0;2.31;1.01;8.19;0.12;0.62;2.5;-16.099999999999998;-1.0
Carlos Akapo;Cádiz;DF;28;11;776;0;0;0;0.2;0.1;0.0;0.0;0.0;0.02;0.01;La Liga;4;0.46;0.12;67.3;80.4;74.0;45.7;-0.1;32.6;0.91;1.73;2.36;4.18;36.55;0.18;66.7;0.70;0.12;51.5;0.82;15.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;18.18;27.0;6.73;8.27;2.91;374.45;183.45;0.18;1.09;0.45;0.27;0.91;1.41;6.91;1.0;0.73;1.55;-15.3;-1.39
Ilias Akhomach;Barcelona;FW;17;2;124;0;0;0;0.1;0.4;0.0;0.0;0.0;0.08;0.27;La Liga;4;2.90;1.45;84.6;97.1;80.0;40.0;-0.4;14.3;0.0;0.5;0.0;1.0;35.0;0.5;33.3;5.08;0.00;0.0;3.00;0.4;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;22.0;26.0;17.0;4.0;1.0;306.0;90.0;1.5;1.5;2.5;0.5;3.0;0.2;4.5;2.0;2.5;0.0;-0.30000000000000004;-0.12000000000000001
Paul Akouokou;Betis;MF;24;3;179;0;0;0;0.0;0.0;0.0;0.0;0.0;0.02;0.01;La Liga;2;1.01;0.00;86.0;84.6;91.8;60.0;0.0;32.5;1.33;0.67;1.0;3.0;39.33;0.67;100.0;1.01;0.00;83.3;2.33;2.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;28.67;33.33;11.0;15.0;2.0;514.0;138.67;0.33;2.67;0.33;0.0;2.0;0.73;5.33;2.67;0.0;1.67;-2.2;-0.71
